participant,task_label,task_duration_s,pupil_mean_bc,pupil_slope,blink_time_frac,blink_per_min,pupil_valid_pct,fix_count,fix_rate_hz,fix_dur_mean_s,fix_dur_std_s,fix_dur_total_s,sac_count,sac_rate_hz,sac_amp_mean_px,sac_amp_std_px,pupil_mean_bc_z,pupil_slope_z,blink_time_frac_z,blink_per_min_z,pupil_valid_pct_z,fix_count_z,fix_rate_hz_z,fix_dur_mean_s_z,fix_dur_std_s_z,fix_dur_total_s_z,sac_count_z,sac_rate_hz_z,sac_amp_mean_px_z,sac_amp_std_px_z
P01,task1_5_2,281.57,0.2554,0.00173406,0.2168,40.91,96.2,665,2.784,0.3592,0.2943,238.88,498,40.738,120.3828,147.4916,-0.5237534062,-0.8161142488,0.02664028082,0.506610002,0.3564861412,1.795888266,-1.091335031,1.312584432,1.22928068,1.858609662,1.845856312,0.2769350576,-0.2005343207,-0.3308246459
P01,task1_6_2,79.5,0.1299,0.00551431,0.1683,38.49,99.5,226,3.202,0.3123,0.2794,70.57,175,39.801,110.431,139.089,-0.97529598,-0.2427229387,-0.6992325392,0.3718999477,0.7421924578,-0.5120594763,-0.0856515148,-0.01729696487,0.801330163,-0.4888684986,-0.4922283498,0.03378649222,-0.461418103,-0.5295108699
P01,task2_2_1,94.11,0.3298,0.00426925,0.2063,46.54,99.4,279,3.433,0.2913,0.2419,81.26,210,42.218,101.183,157.6435,-0.2560660158,-0.4315746243,-0.1305074431,0.8200057071,0.7305043876,-0.2334234163,0.4701209548,-0.6127662472,-0.2757265077,-0.3397713473,-0.2388755227,0.6609904223,-0.7038519561,-0.09077481882
P01,task2_5_1,235.18,0.0449,0.00146192,0.2505,50.26,97.6,572,2.844,0.3517,0.2567,201.14,404,46.117,86.331,118.814,-1.281121628,-0.8573926593,0.5310096424,1.027080667,0.520119124,1.30696084,-0.9469785457,1.099916831,0.1493518583,1.332236744,1.165423005,1.672768711,-1.093193174,-1.008929525
P01,task3_10_1,43.52,0.2564,0.0179908,0.1447,8.27,90.6,141,4.256,0.235,0.1658,33.13,109,32.187,214.1255,246.6772,-0.5201554574,1.649720933,-1.052440757,-1.310305773,-0.2980457901,-0.958928629,2.450210749,-2.209191037,-2.461433512,-1.011057212,-0.9699793953,-1.942022661,2.256905554,2.014498508
P01,task3_3_1,60.75,0.1674,0.00188346,0.2232,50.37,99.1,159,3.026,0.3305,0.2588,52.55,111,40.805,108.9217,114.2564,-0.8403729002,-0.7934531386,0.1224255602,1.033203851,0.695440177,-0.8642975143,-0.509097206,0.4987764131,0.2096670319,-0.7401997115,-0.9555020909,0.2943213478,-0.5009839999,-1.116697636
P01,task3_4_2,209.45,0.7317,0.00320503,0.2525,43.54,95,525,2.998,0.3336,0.2327,175.12,394,42.396,106.212,149.5451,1.189949605,-0.5929963557,0.5609425422,0.6530097719,0.2162292987,1.059868485,-0.5764635659,0.5866790215,-0.5399644109,0.9693267463,1.093036483,0.7071808648,-0.5720180626,-0.2822679895
P01,task3_8_2,83.1,0.7459,0.01780369,0.2269,23.11,90,208,3.198,0.3126,0.2542,65.03,162,37.897,132.6795,158.6258,1.241040478,1.62133994,0.1778014248,-0.4842325467,-0.3681742114,-0.606690591,-0.09527528051,-0.008790260834,0.07754808029,-0.5661368071,-0.5863308285,-0.4602955446,0.1218203897,-0.06754754657
P01,task3_8_3,99.87,0.5857,0.01310033,0.1088,7.21,93.2,273,3.295,0.3035,0.2691,82.85,224,38.872,127.3853,158.6155,0.664649081,0.9079305753,-1.589736308,-1.369311003,0.005844035101,-0.2649671212,0.1381010379,-0.2668269498,0.5054985975,-0.3175950638,-0.1375343919,-0.2072860982,-0.01696565107,-0.06779109834
P02,task1_5_2,258.5,-0.0935,-0.00063221,0.1457,26.23,97.4,542,2.474,0.4042,0.4355,219.1,398,32.381,179.1967,236.4249,0.02264414021,-0.9404130696,-0.193186741,0.2658542224,0.2341635707,-0.05803939174,-0.5018433629,0.4194267167,1.120487066,-0.03737088942,-0.09499699246,0.1156706753,-0.02384060377,0.06962306943
