participant,task_id,n_explorations,total_duration_s,tonic_mean_uS,tonic_slope,scr_count,scr_rate,scr_amp_mean,scr_amp_sum,bc_mean_uS,tonic_mean_uS_z,tonic_slope_z,scr_count_z,scr_rate_z,scr_amp_mean_z,scr_amp_sum_z,bc_mean_uS_z
P01,task1_5_2,2,281.34,10.418,0.001397,21,0.0746,0.6995,14.6901,1.4364,-1.252951833,0.8711703818,2.550478487,0.7127767945,-0.202556944,2.039526641,1.500278234
P01,task1_6_2,1,79.34,12.7825,0.000367,8,0.1008,0.515,4.12,0.4225,0.4765873935,0.4552805147,0.2008250777,1.724653785,-0.589339149,-0.2979414324,0.1983354357
P01,task2_2_1,1,93.88,14.1889,-0.00075,6,0.0639,0.5742,3.4451,-0.4875,1.505313961,0.004262086016,-0.1606600622,0.2995293212,-0.4652334225,-0.4471885732,-0.9701900072
P01,task2_5_1,1,235.01,13.9006,-0.001316,4,0.017,0.8199,3.2796,-0.668,1.294433792,-0.2242754526,-0.522145202,-1.511807735,0.04984727002,-0.483787183,-1.201968955
P01,task3_4_2,1,209.33,12.4555,-0.003043,5,0.0239,0.8633,4.3167,-0.6586,0.237399689,-0.9215975889,-0.3414026321,-1.245321046,0.1408301844,-0.2544432659,-1.189898472
P01,task3_8_2,1,82.85,11.0157,0.003341,6,0.0724,1.7804,10.6824,0.8227,-0.8157576715,1.656112034,-0.1606600622,0.6278100243,2.063420755,1.153265319,0.7122298118
P01,task3_8_3,1,99.51,10.7269,-0.00015,5,0.0502,0.3282,1.6412,1.1807,-1.027003571,0.246528028,-0.3414026321,-0.2295819296,-0.9809430292,-0.8461023637,1.171935426
P01,task3_10_1,1,43.16,11.2357,-0.001466,2,0.0463,0.2974,0.5948,0.2118,-0.6548362801,-0.2848419381,-0.8836303419,-0.3802048404,-1.045511549,-1.077502879,-0.07222314764
P02,task1_5_2,1,258.23,4.0519,-0.001072,13,0.0503,0.5676,7.3792,0.2162,-1.843343686,-1.28078219,-0.1123666437,-0.05495181754,-0.7214838092,-0.5663235047,0.8633448024
P02,task1_6_2,1,213.27,7.0169,-0.000999,21,0.0985,0.8901,18.6928,-0.2701,-0.339735909,-1.10933274,0.7865665062,1.503093833,-0.1157341798,0.1736085056,0.3359460367
P02,task2_2_1,2,463.16,8.1131,3.30E-05,22,0.0475,1.1904,26.1879,-1.1855,0.2161679174,1.314445781,0.89893315,-0.1454606935,0.4483173355,0.6638029982,-0.65681734
P02,task2_5_1,1,740.26,9.2883,-0.000348,21,0.0284,1.9119,40.1493,-2.1258,0.8121341432,0.4196205708,0.7865665062,-0.7628605259,1.803506041,1.576906411,-1.676585095
P02,task3_8_3,1,78.03,8.3554,-0.000357,1,0.0128,0.6162,0.6162,-0.3871,0.3390428463,0.3984829674,-1.460766369,-1.267124263,-0.6301987488,-1.008637197,0.2090579931
P02,task3_10_1,1,80.58,9.2954,-0.000417,6,0.0745,0.5341,3.2045,0.2731,0.8157346879,0.2575656116,-0.89893315,0.7273034675,-0.784406639,-0.8393572131,0.925053603
P03,task1_5_2,2,325.48,4.4615,-5.00E-05,22,0.0676,0.6061,13.335,-0.2247,-1.123538468,0.8391638131,1.174175679,-0.01917479787,-0.2643287479,1.003156558,0.7544675046
P03,task1_6_2,1,87.54,4.5875,-0.003361,8,0.0914,0.5305,4.2441,-0.872,-0.9379440591,-0.1368685701,-0.715302425,1.406950794,-0.442163164,-0.8770678319,0.2565963281
P03,task2_5_1,1,281.82,6.051,-0.001445,19,0.0674,0.639,12.141,-1.9955,1.217749724,0.4279390549,0.7692875137,-0.03115904654,-0.1869378446,0.7562076394,-0.607544359
P03,task2_2_1,1,184.22,4.9894,-0.00289,11,0.0597,0.4464,4.9109,-3.2849,-0.3459568151,0.001975057979,-0.3104142599,-0.4925526202,-0.6399921904,-0.7391569954,-1.599287129
P03,task3_3_1,1,46,6.0836,-0.011877,4,0.087,1.1596,4.6386,-0.8799,1.265768595,-2.647255696,-1.255153312,1.143297323,1.037673227,-0.7954754129,0.2505200385
P03,task3_4_2,1,365.6,4.9727,-0.001212,24,0.0656,0.3752,9.0058,-3.0218,-0.3705554391,0.4966239069,1.444101122,-0.1390172845,-0.8074764553,0.1077702453,-1.396923609
P03,task3_8_2,2,237.48,4.6679,-0.001204,21,0.0884,0.5057,10.6194,-1.5561,-0.8195171509,0.4989821851,1.039212957,1.227187064,-0.5005003799,0.4415028872,-0.2695795901
P03,task3_8_3,1,162.13,6.3353,-0.002769,10,0.0617,1.7567,17.5672,1.0282,1.636515521,0.0376440155,-0.4453769816,-0.3727101336,2.442235792,1.878480856,1.718136278
P03,task3_10_1,1,122.73,4.9644,-0.003729,6,0.0489,0.4693,2.8159,-0.6214,-0.3827811025,-0.2453493665,-0.9852278684,-1.139702048,-0.586124358,-1.172455139,0.4493454658
P04,task1_5_2,1,485.52,8.8207,0.000759,41,0.0844,1.1119,45.5892,0.2076,-1.352540018,1.388022315,0.2421046828,1.74390842,-1.404988921,-0.9725259172,1.396021721
